"","ref_date","age.group","indicators","characteristics","uom","value"
"86",2020,"12 to 17 years","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Number of persons","Number",453900
"87",2021,"12 to 17 years","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Number of persons","Number",567700
"88",2022,"12 to 17 years","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Number of persons","Number",673100
"89",2015,"12 to 17 years","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Percent","Percent",24.5
"90",2016,"12 to 17 years","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Percent","Percent",26.8
"91",2017,"12 to 17 years","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Percent","Percent",27.9
"92",2018,"12 to 17 years","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Percent","Percent",23.7
"93",2019,"12 to 17 years","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Percent","Percent",24.5
"94",2020,"12 to 17 years","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Percent","Percent",23.2
"95",2021,"12 to 17 years","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Percent","Percent",27.2
"96",2022,"12 to 17 years","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Percent","Percent",30.1
"97",2015,"12 to 17 years","Arthritis (15 years and over)","Number of persons","Number",8000
"98",2016,"12 to 17 years","Arthritis (15 years and over)","Number of persons","Number",17600
"99",2017,"12 to 17 years","Arthritis (15 years and over)","Number of persons","Number",6200
"100",2018,"12 to 17 years","Arthritis (15 years and over)","Number of persons","Number",13500
"101",2019,"12 to 17 years","Arthritis (15 years and over)","Number of persons","Number",NA
"102",2020,"12 to 17 years","Arthritis (15 years and over)","Number of persons","Number",NA
"103",2021,"12 to 17 years","Arthritis (15 years and over)","Number of persons","Number",NA
"104",2022,"12 to 17 years","Arthritis (15 years and over)","Number of persons","Number",NA
"105",2015,"12 to 17 years","Arthritis (15 years and over)","Percent","Percent",0.7
"106",2016,"12 to 17 years","Arthritis (15 years and over)","Percent","Percent",1.6
"107",2017,"12 to 17 years","Arthritis (15 years and over)","Percent","Percent",0.6
"108",2018,"12 to 17 years","Arthritis (15 years and over)","Percent","Percent",1.3
"109",2019,"12 to 17 years","Arthritis (15 years and over)","Percent","Percent",NA
"110",2020,"12 to 17 years","Arthritis (15 years and over)","Percent","Percent",NA
"111",2021,"12 to 17 years","Arthritis (15 years and over)","Percent","Percent",NA
"112",2022,"12 to 17 years","Arthritis (15 years and over)","Percent","Percent",0.5
"113",2015,"12 to 17 years","Diabetes","Number of persons","Number",11900
"114",2016,"12 to 17 years","Diabetes","Number of persons","Number",9800
"115",2017,"12 to 17 years","Diabetes","Number of persons","Number",13200
"116",2018,"12 to 17 years","Diabetes","Number of persons","Number",12000
"117",2019,"12 to 17 years","Diabetes","Number of persons","Number",15400
"118",2020,"12 to 17 years","Diabetes","Number of persons","Number",NA
"119",2021,"12 to 17 years","Diabetes","Number of persons","Number",7600
"120",2022,"12 to 17 years","Diabetes","Number of persons","Number",NA
"121",2015,"12 to 17 years","Diabetes","Percent","Percent",0.5
"122",2016,"12 to 17 years","Diabetes","Percent","Percent",0.4
"123",2017,"12 to 17 years","Diabetes","Percent","Percent",0.6
"124",2018,"12 to 17 years","Diabetes","Percent","Percent",0.5
"125",2019,"12 to 17 years","Diabetes","Percent","Percent",0.7
"126",2020,"12 to 17 years","Diabetes","Percent","Percent",NA
"127",2021,"12 to 17 years","Diabetes","Percent","Percent",0.3
"128",2022,"12 to 17 years","Diabetes","Percent","Percent",0.9
"129",2015,"12 to 17 years","Asthma","Number of persons","Number",236500
"130",2016,"12 to 17 years","Asthma","Number of persons","Number",219900
"131",2017,"12 to 17 years","Asthma","Number of persons","Number",211100
"132",2018,"12 to 17 years","Asthma","Number of persons","Number",211100
"133",2019,"12 to 17 years","Asthma","Number of persons","Number",219400
"134",2020,"12 to 17 years","Asthma","Number of persons","Number",230500
"135",2021,"12 to 17 years","Asthma","Number of persons","Number",NA
"136",2022,"12 to 17 years","Asthma","Number of persons","Number",NA
"137",2015,"12 to 17 years","Asthma","Percent","Percent",10.6
"138",2016,"12 to 17 years","Asthma","Percent","Percent",9.9
"139",2017,"12 to 17 years","Asthma","Percent","Percent",9.5
"140",2018,"12 to 17 years","Asthma","Percent","Percent",9.4
"141",2019,"12 to 17 years","Asthma","Percent","Percent",9.6
"142",2020,"12 to 17 years","Asthma","Percent","Percent",9.8
"143",2021,"12 to 17 years","Asthma","Percent","Percent",NA
"144",2022,"12 to 17 years","Asthma","Percent","Percent",NA
"145",2015,"12 to 17 years","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number",NA
"146",2016,"12 to 17 years","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number",NA
"147",2017,"12 to 17 years","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number",NA
"148",2018,"12 to 17 years","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number",NA
"149",2019,"12 to 17 years","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number",NA
"150",2020,"12 to 17 years","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number",NA
"151",2021,"12 to 17 years","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number",NA
"152",2022,"12 to 17 years","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number",NA
"153",2015,"12 to 17 years","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Percent","Percent",NA
"154",2016,"12 to 17 years","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Percent","Percent",NA
"155",2017,"12 to 17 years","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Percent","Percent",NA
"156",2018,"12 to 17 years","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Percent","Percent",NA
"157",2019,"12 to 17 years","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Percent","Percent",NA
"158",2020,"12 to 17 years","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Percent","Percent",NA
"159",2021,"12 to 17 years","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Percent","Percent",NA
"160",2022,"12 to 17 years","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Percent","Percent",NA
"161",2015,"12 to 17 years","High blood pressure","Number of persons","Number",19400
"162",2016,"12 to 17 years","High blood pressure","Number of persons","Number",12400
"163",2017,"12 to 17 years","High blood pressure","Number of persons","Number",9000
"164",2018,"12 to 17 years","High blood pressure","Number of persons","Number",19300
"165",2019,"12 to 17 years","High blood pressure","Number of persons","Number",10200
"166",2020,"12 to 17 years","High blood pressure","Number of persons","Number",NA
"167",2021,"12 to 17 years","High blood pressure","Number of persons","Number",11100
"168",2022,"12 to 17 years","High blood pressure","Number of persons","Number",NA
"169",2015,"12 to 17 years","High blood pressure","Percent","Percent",0.9
"170",2016,"12 to 17 years","High blood pressure","Percent","Percent",0.6
"171",2017,"12 to 17 years","High blood pressure","Percent","Percent",0.4
"172",2018,"12 to 17 years","High blood pressure","Percent","Percent",0.9
"173",2019,"12 to 17 years","High blood pressure","Percent","Percent",0.4
"174",2020,"12 to 17 years","High blood pressure","Percent","Percent",NA
"175",2021,"12 to 17 years","High blood pressure","Percent","Percent",0.5
"176",2022,"12 to 17 years","High blood pressure","Percent","Percent",0.5
"177",2015,"12 to 17 years","Mood disorder","Number of persons","Number",118200
"178",2016,"12 to 17 years","Mood disorder","Number of persons","Number",102300
"179",2017,"12 to 17 years","Mood disorder","Number of persons","Number",100200
"180",2018,"12 to 17 years","Mood disorder","Number of persons","Number",101700
"181",2019,"12 to 17 years","Mood disorder","Number of persons","Number",111600
"182",2020,"12 to 17 years","Mood disorder","Number of persons","Number",102100
"183",2021,"12 to 17 years","Mood disorder","Number of persons","Number",133200
"184",2022,"12 to 17 years","Mood disorder","Number of persons","Number",189000
"185",2015,"12 to 17 years","Mood disorder","Percent","Percent",5.3
"186",2016,"12 to 17 years","Mood disorder","Percent","Percent",4.6
"187",2017,"12 to 17 years","Mood disorder","Percent","Percent",4.5
"188",2018,"12 to 17 years","Mood disorder","Percent","Percent",4.6
"189",2019,"12 to 17 years","Mood disorder","Percent","Percent",4.9
"190",2020,"12 to 17 years","Mood disorder","Percent","Percent",4.3
"191",2021,"12 to 17 years","Mood disorder","Percent","Percent",5.6
"192",2022,"12 to 17 years","Mood disorder","Percent","Percent",7.8
"193",2022,"12 to 17 years","Anxiety disorder","Number of persons","Number",364500
"194",2022,"12 to 17 years","Anxiety disorder","Percent","Percent",15
"195",2015,"12 to 17 years","Current smoker, daily or occasional","Number of persons","Number",92100
"196",2016,"12 to 17 years","Current smoker, daily or occasional","Number of persons","Number",81200
"197",2017,"12 to 17 years","Current smoker, daily or occasional","Number of persons","Number",77200
"198",2018,"12 to 17 years","Current smoker, daily or occasional","Number of persons","Number",70800
"199",2019,"12 to 17 years","Current smoker, daily or occasional","Number of persons","Number",56900
"200",2020,"12 to 17 years","Current smoker, daily or occasional","Number of persons","Number",43000
"201",2021,"12 to 17 years","Current smoker, daily or occasional","Number of persons","Number",27000
"202",2022,"12 to 17 years","Current smoker, daily or occasional","Number of persons","Number",NA
"203",2015,"12 to 17 years","Current smoker, daily or occasional","Percent","Percent",4.1
"204",2016,"12 to 17 years","Current smoker, daily or occasional","Percent","Percent",3.6
"205",2017,"12 to 17 years","Current smoker, daily or occasional","Percent","Percent",3.5
"206",2018,"12 to 17 years","Current smoker, daily or occasional","Percent","Percent",3.2
"207",2019,"12 to 17 years","Current smoker, daily or occasional","Percent","Percent",2.5
"208",2020,"12 to 17 years","Current smoker, daily or occasional","Percent","Percent",1.8
"209",2021,"12 to 17 years","Current smoker, daily or occasional","Percent","Percent",1.1
"210",2022,"12 to 17 years","Current smoker, daily or occasional","Percent","Percent",0.3
"211",2015,"12 to 17 years","Current smoker, daily","Number of persons","Number",37000
"212",2016,"12 to 17 years","Current smoker, daily","Number of persons","Number",38700
"213",2017,"12 to 17 years","Current smoker, daily","Number of persons","Number",25200
"214",2018,"12 to 17 years","Current smoker, daily","Number of persons","Number",19300
"215",2019,"12 to 17 years","Current smoker, daily","Number of persons","Number",10300
"216",2020,"12 to 17 years","Current smoker, daily","Number of persons","Number",11800
"217",2021,"12 to 17 years","Current smoker, daily","Number of persons","Number",NA
"218",2022,"12 to 17 years","Current smoker, daily","Number of persons","Number",NA
"219",2015,"12 to 17 years","Current smoker, daily","Percent","Percent",1.7
"220",2016,"12 to 17 years","Current smoker, daily","Percent","Percent",1.7
"221",2017,"12 to 17 years","Current smoker, daily","Percent","Percent",1.1
"222",2018,"12 to 17 years","Current smoker, daily","Percent","Percent",0.9
"223",2019,"12 to 17 years","Current smoker, daily","Percent","Percent",0.4
"224",2020,"12 to 17 years","Current smoker, daily","Percent","Percent",0.5
"225",2021,"12 to 17 years","Current smoker, daily","Percent","Percent",NA
"226",2022,"12 to 17 years","Current smoker, daily","Percent","Percent",NA
"227",2019,"12 to 17 years","Cannabis use, past 12 months","Number of persons","Number",206100
"228",2020,"12 to 17 years","Cannabis use, past 12 months","Number of persons","Number",166700
"229",2021,"12 to 17 years","Cannabis use, past 12 months","Number of persons","Number",208800
"230",2022,"12 to 17 years","Cannabis use, past 12 months","Number of persons","Number",173300
"231",2019,"12 to 17 years","Cannabis use, past 12 months","Percent","Percent",9.4
"232",2020,"12 to 17 years","Cannabis use, past 12 months","Percent","Percent",7.3
"233",2021,"12 to 17 years","Cannabis use, past 12 months","Percent","Percent",9
"234",2022,"12 to 17 years","Cannabis use, past 12 months","Percent","Percent",7.3
"235",2019,"12 to 17 years","Cannabis frequency of use in the past months, daily or almost daily","Number of persons","Number",23800
"236",2020,"12 to 17 years","Cannabis frequency of use in the past months, daily or almost daily","Number of persons","Number",22100
"237",2021,"12 to 17 years","Cannabis frequency of use in the past months, daily or almost daily","Number of persons","Number",27700
"238",2022,"12 to 17 years","Cannabis frequency of use in the past months, daily or almost daily","Number of persons","Number",NA
"239",2019,"12 to 17 years","Cannabis frequency of use in the past months, daily or almost daily","Percent","Percent",1.1
"240",2020,"12 to 17 years","Cannabis frequency of use in the past months, daily or almost daily","Percent","Percent",1
"241",2021,"12 to 17 years","Cannabis frequency of use in the past months, daily or almost daily","Percent","Percent",1.2
"242",2022,"12 to 17 years","Cannabis frequency of use in the past months, daily or almost daily","Percent","Percent",0.8
"243",2022,"12 to 17 years","Ever used e-cigarette or vaping device","Number of persons","Number",336700
"244",2022,"12 to 17 years","Ever used e-cigarette or vaping device","Percent","Percent",14.1
"245",2022,"12 to 17 years","Used e-cigarette or vaping device, past 30 days","Number of persons","Number",138700
"246",2022,"12 to 17 years","Used e-cigarette or vaping device, past 30 days","Percent","Percent",5.8
"247",2015,"12 to 17 years","Heavy drinking","Number of persons","Number",90600
"248",2016,"12 to 17 years","Heavy drinking","Number of persons","Number",87900
"249",2017,"12 to 17 years","Heavy drinking","Number of persons","Number",94300
"250",2018,"12 to 17 years","Heavy drinking","Number of persons","Number",77100
"251",2019,"12 to 17 years","Heavy drinking","Number of persons","Number",62100
"252",2020,"12 to 17 years","Heavy drinking","Number of persons","Number",66500
"253",2021,"12 to 17 years","Heavy drinking","Number of persons","Number",81000
"254",2022,"12 to 17 years","Heavy drinking","Number of persons","Number",77900
"255",2015,"12 to 17 years","Heavy drinking","Percent","Percent",4.1
"256",2016,"12 to 17 years","Heavy drinking","Percent","Percent",4
"257",2017,"12 to 17 years","Heavy drinking","Percent","Percent",4.2
"258",2018,"12 to 17 years","Heavy drinking","Percent","Percent",3.4
"259",2019,"12 to 17 years","Heavy drinking","Percent","Percent",2.7
"260",2020,"12 to 17 years","Heavy drinking","Percent","Percent",2.8
"261",2021,"12 to 17 years","Heavy drinking","Percent","Percent",3.4
"262",2022,"12 to 17 years","Heavy drinking","Percent","Percent",3.3
"263",2015,"12 to 17 years","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Number of persons","Number",1140600
"264",2016,"12 to 17 years","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Number of persons","Number",1180000
"265",2017,"12 to 17 years","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Number of persons","Number",1159100
"266",2018,"12 to 17 years","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Number of persons","Number",1016700
"267",2019,"12 to 17 years","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Number of persons","Number",NA
"268",2020,"12 to 17 years","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Number of persons","Number",921300
"269",2021,"12 to 17 years","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Number of persons","Number",1007500
"270",2022,"12 to 17 years","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Number of persons","Number",NA
"271",2015,"12 to 17 years","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Percent","Percent",59.4
"272",2016,"12 to 17 years","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Percent","Percent",60.4
"273",2017,"12 to 17 years","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Percent","Percent",60
"274",2018,"12 to 17 years","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Percent","Percent",55.5
"275",2019,"12 to 17 years","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Percent","Percent",NA
"276",2020,"12 to 17 years","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Percent","Percent",42.9
"277",2021,"12 to 17 years","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Percent","Percent",45.2
"278",2022,"12 to 17 years","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Percent","Percent",NA
"279",2015,"12 to 17 years","Breast milk feeding initiation","Number of persons","Number",NA
"280",2016,"12 to 17 years","Breast milk feeding initiation","Number of persons","Number",NA
"281",2017,"12 to 17 years","Breast milk feeding initiation","Number of persons","Number",NA
"282",2018,"12 to 17 years","Breast milk feeding initiation","Number of persons","Number",NA
"283",2019,"12 to 17 years","Breast milk feeding initiation","Number of persons","Number",NA
"284",2020,"12 to 17 years","Breast milk feeding initiation","Number of persons","Number",NA
"285",2021,"12 to 17 years","Breast milk feeding initiation","Number of persons","Number",NA
"286",2022,"12 to 17 years","Breast milk feeding initiation","Number of persons","Number",NA
"287",2015,"12 to 17 years","Breast milk feeding initiation","Percent","Percent",NA
"288",2016,"12 to 17 years","Breast milk feeding initiation","Percent","Percent",NA
"289",2017,"12 to 17 years","Breast milk feeding initiation","Percent","Percent",NA
"290",2018,"12 to 17 years","Breast milk feeding initiation","Percent","Percent",NA
"291",2019,"12 to 17 years","Breast milk feeding initiation","Percent","Percent",NA
"292",2020,"12 to 17 years","Breast milk feeding initiation","Percent","Percent",NA
"293",2021,"12 to 17 years","Breast milk feeding initiation","Percent","Percent",NA
"294",2022,"12 to 17 years","Breast milk feeding initiation","Percent","Percent",NA
"295",2015,"12 to 17 years","Exclusive breastfeeding, at least 6 months","Number of persons","Number",NA
"296",2016,"12 to 17 years","Exclusive breastfeeding, at least 6 months","Number of persons","Number",NA
"297",2017,"12 to 17 years","Exclusive breastfeeding, at least 6 months","Number of persons","Number",NA
"298",2018,"12 to 17 years","Exclusive breastfeeding, at least 6 months","Number of persons","Number",NA
"299",2019,"12 to 17 years","Exclusive breastfeeding, at least 6 months","Number of persons","Number",NA
"300",2020,"12 to 17 years","Exclusive breastfeeding, at least 6 months","Number of persons","Number",NA
"301",2021,"12 to 17 years","Exclusive breastfeeding, at least 6 months","Number of persons","Number",NA
"302",2022,"12 to 17 years","Exclusive breastfeeding, at least 6 months","Number of persons","Number",NA
"303",2015,"12 to 17 years","Exclusive breastfeeding, at least 6 months","Percent","Percent",NA
"304",2016,"12 to 17 years","Exclusive breastfeeding, at least 6 months","Percent","Percent",NA
"305",2017,"12 to 17 years","Exclusive breastfeeding, at least 6 months","Percent","Percent",NA
"306",2018,"12 to 17 years","Exclusive breastfeeding, at least 6 months","Percent","Percent",NA
"307",2019,"12 to 17 years","Exclusive breastfeeding, at least 6 months","Percent","Percent",NA
"308",2020,"12 to 17 years","Exclusive breastfeeding, at least 6 months","Percent","Percent",NA
"309",2021,"12 to 17 years","Exclusive breastfeeding, at least 6 months","Percent","Percent",NA
"310",2022,"12 to 17 years","Exclusive breastfeeding, at least 6 months","Percent","Percent",NA
"311",2015,"12 to 17 years","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number",605700
"312",2016,"12 to 17 years","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number",577000
"313",2017,"12 to 17 years","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number",542000
"314",2018,"12 to 17 years","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number",NA
"315",2019,"12 to 17 years","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number",NA
"316",2020,"12 to 17 years","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number",521500
"317",2021,"12 to 17 years","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number",490700
"318",2022,"12 to 17 years","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number",NA
"319",2015,"12 to 17 years","Fruit and vegetable consumption, 5 times or more per day","Percent","Percent",31.3
"320",2016,"12 to 17 years","Fruit and vegetable consumption, 5 times or more per day","Percent","Percent",29.1
"321",2017,"12 to 17 years","Fruit and vegetable consumption, 5 times or more per day","Percent","Percent",27.5
"322",2018,"12 to 17 years","Fruit and vegetable consumption, 5 times or more per day","Percent","Percent",NA
"323",2019,"12 to 17 years","Fruit and vegetable consumption, 5 times or more per day","Percent","Percent",NA
"324",2020,"12 to 17 years","Fruit and vegetable consumption, 5 times or more per day","Percent","Percent",24.1
"325",2021,"12 to 17 years","Fruit and vegetable consumption, 5 times or more per day","Percent","Percent",22.1
"326",2022,"12 to 17 years","Fruit and vegetable consumption, 5 times or more per day","Percent","Percent",NA
"327",2015,"12 to 17 years","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number",1761500
"328",2016,"12 to 17 years","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number",1799900
"329",2017,"12 to 17 years","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number",1784300
